"observation","public.feedback","private.feedback","public.feedback.bins"
40034,5,"Probably Yes","(4.75,5]"
40035,5,"Definitely Yes","(4.75,5]"
40036,5,"Definitely Yes","(4.75,5]"
40037,5,"Definitely Yes","(4.75,5]"
40038,4.7,"Probably Yes","(4.5,4.75]"
40039,5,"Definitely Yes","(4.75,5]"
40040,4.8,"Definitely Yes","(4.75,5]"
40041,4.5,"Definitely Yes","(4.25,4.5]"
40042,5,"Definitely Yes","(4.75,5]"
40043,5,"Definitely Yes","(4.75,5]"
40044,5,"Definitely Yes","(4.75,5]"
40045,4.85,"Definitely Yes","(4.75,5]"
40046,5,"Definitely Yes","(4.75,5]"
40047,5,"Definitely Yes","(4.75,5]"
40048,5,"Definitely Yes","(4.75,5]"
40049,5,"Definitely Yes","(4.75,5]"
40050,5,"Definitely Yes","(4.75,5]"
40051,5,"Definitely Yes","(4.75,5]"
40052,5,"Definitely Yes","(4.75,5]"
40053,5,"Probably Yes","(4.75,5]"
40054,5,"Definitely Yes","(4.75,5]"
40055,5,"Definitely Yes","(4.75,5]"
40056,5,"Definitely Yes","(4.75,5]"
40057,5,"Probably Yes","(4.75,5]"
40058,5,"Probably Yes","(4.75,5]"
40059,5,"Definitely Yes","(4.75,5]"
40060,5,"Definitely Yes","(4.75,5]"
40061,4.8,"Probably Yes","(4.75,5]"
40062,5,"Definitely Yes","(4.75,5]"
40063,5,"Definitely Yes","(4.75,5]"
40064,5,"Definitely Yes","(4.75,5]"
40065,5,"Definitely Yes","(4.75,5]"
40066,5,"Definitely Yes","(4.75,5]"
40067,5,"Definitely Yes","(4.75,5]"
40068,5,"Definitely Yes","(4.75,5]"
40069,5,"Definitely Yes","(4.75,5]"
40070,5,"Definitely Yes","(4.75,5]"
40071,4.8,"Definitely Yes","(4.75,5]"
40072,5,"Definitely Yes","(4.75,5]"
40073,5,"Probably Yes","(4.75,5]"
40074,5,"Definitely Yes","(4.75,5]"
40075,5,"Probably Yes","(4.75,5]"
40076,5,"Definitely Yes","(4.75,5]"
40077,4.2,"Probably Yes","(4,4.25]"
40078,5,"Definitely Yes","(4.75,5]"
40079,5,"Definitely Yes","(4.75,5]"
40080,2,"Probably Yes","(1.75,2]"
40081,5,"Definitely Yes","(4.75,5]"
40082,5,"Definitely Yes","(4.75,5]"
40083,5,"Definitely Yes","(4.75,5]"
40084,5,"Definitely Yes","(4.75,5]"
40085,5,"Definitely Yes","(4.75,5]"
40086,5,"Definitely Yes","(4.75,5]"
40087,5,"Definitely Yes","(4.75,5]"
40088,5,"Definitely Yes","(4.75,5]"
40089,5,"Definitely Yes","(4.75,5]"
40090,4.6,"Definitely Not","(4.5,4.75]"
40091,5,"Definitely Yes","(4.75,5]"
40092,5,"Definitely Yes","(4.75,5]"
40093,5,"Definitely Yes","(4.75,5]"
40094,5,"Definitely Yes","(4.75,5]"
40095,5,"Definitely Yes","(4.75,5]"
40096,5,"Definitely Yes","(4.75,5]"
40097,5,"Definitely Yes","(4.75,5]"
40098,5,"Definitely Yes","(4.75,5]"
40099,5,"Definitely Yes","(4.75,5]"
40100,5,"Definitely Yes","(4.75,5]"
40101,5,"Definitely Yes","(4.75,5]"
40102,5,"Definitely Yes","(4.75,5]"
40103,5,"Definitely Yes","(4.75,5]"
40104,5,"Definitely Yes","(4.75,5]"
40105,5,"Definitely Yes","(4.75,5]"
40106,5,"Definitely Yes","(4.75,5]"
40107,5,"Probably Yes","(4.75,5]"
40108,5,"Definitely Yes","(4.75,5]"
40109,5,"Definitely Yes","(4.75,5]"
40110,5,"Probably Yes","(4.75,5]"
40111,5,"Definitely Yes","(4.75,5]"
40112,5,"Definitely Yes","(4.75,5]"
40113,5,"Probably Not","(4.75,5]"
40114,5,"Definitely Yes","(4.75,5]"
40115,5,"Definitely Yes","(4.75,5]"
40116,4.6,"Probably Yes","(4.5,4.75]"
40117,5,"Definitely Yes","(4.75,5]"
40118,5,"Probably Yes","(4.75,5]"
40119,5,"Definitely Yes","(4.75,5]"
40120,5,"Definitely Yes","(4.75,5]"
40121,4,"Probably Yes","(3.75,4]"
40122,5,"Definitely Yes","(4.75,5]"
40123,5,"Definitely Yes","(4.75,5]"
40124,5,"Definitely Yes","(4.75,5]"
40125,5,"Probably Yes","(4.75,5]"
40126,4.25,"Definitely Yes","(4,4.25]"
40127,5,"Definitely Yes","(4.75,5]"
40128,1.3,"Definitely Not","(1.25,1.5]"
40129,5,"Definitely Yes","(4.75,5]"
40130,5,"Definitely Yes","(4.75,5]"
40131,5,"Probably Yes","(4.75,5]"
40132,5,"Definitely Yes","(4.75,5]"
40133,5,"Definitely Yes","(4.75,5]"
40134,5,"Definitely Yes","(4.75,5]"
40135,5,"Definitely Yes","(4.75,5]"
40136,5,"Definitely Yes","(4.75,5]"
40137,5,"Definitely Yes","(4.75,5]"
40138,5,"Definitely Yes","(4.75,5]"
40139,5,"Definitely Yes","(4.75,5]"
40140,5,"Definitely Yes","(4.75,5]"
40141,5,"Definitely Yes","(4.75,5]"
40142,5,"Definitely Yes","(4.75,5]"
40143,4.45,"Definitely Yes","(4.25,4.5]"
40144,5,"Definitely Yes","(4.75,5]"
40145,5,"Definitely Yes","(4.75,5]"
40146,5,"Definitely Yes","(4.75,5]"
40147,5,"Definitely Yes","(4.75,5]"
40148,5,"Definitely Yes","(4.75,5]"
40149,5,"Definitely Yes","(4.75,5]"
40150,5,"Definitely Yes","(4.75,5]"
40151,5,"Probably Yes","(4.75,5]"
40152,5,"Definitely Yes","(4.75,5]"
40153,5,"Definitely Yes","(4.75,5]"
40154,2.65,"Definitely Not","(2.5,2.75]"
40155,4.4,"Probably Yes","(4.25,4.5]"
40156,5,"Definitely Yes","(4.75,5]"
40157,5,"Definitely Yes","(4.75,5]"
40158,5,"Probably Yes","(4.75,5]"
40159,4,"Definitely Yes","(3.75,4]"
40160,5,"Probably Yes","(4.75,5]"
40161,5,"Definitely Yes","(4.75,5]"
40162,5,"Definitely Yes","(4.75,5]"
40163,5,"Definitely Yes","(4.75,5]"
40164,5,"Definitely Yes","(4.75,5]"
40165,5,"Definitely Yes","(4.75,5]"
40166,5,"Definitely Yes","(4.75,5]"
40167,4.85,"Probably Yes","(4.75,5]"
40168,5,"Definitely Yes","(4.75,5]"
40169,5,"Definitely Yes","(4.75,5]"
40170,5,"Definitely Yes","(4.75,5]"
40171,5,"Probably Yes","(4.75,5]"
40172,5,"Definitely Yes","(4.75,5]"
40173,5,"Definitely Yes","(4.75,5]"
40174,5,"Definitely Yes","(4.75,5]"
40175,5,"Definitely Yes","(4.75,5]"
40176,5,"Probably Yes","(4.75,5]"
40177,5,"Definitely Yes","(4.75,5]"
40178,5,"Definitely Yes","(4.75,5]"
40179,5,"Definitely Yes","(4.75,5]"
40180,5,"Probably Not","(4.75,5]"
40181,5,"Probably Yes","(4.75,5]"
40182,5,"Definitely Yes","(4.75,5]"
40183,4.8,"Definitely Yes","(4.75,5]"
40184,5,"Definitely Yes","(4.75,5]"
40185,5,"Definitely Yes","(4.75,5]"
40186,5,"Definitely Yes","(4.75,5]"
40187,5,"Definitely Yes","(4.75,5]"
40188,5,"Definitely Yes","(4.75,5]"
40189,5,"Definitely Yes","(4.75,5]"
40190,4.15,"Definitely Yes","(4,4.25]"
40191,5,"Definitely Yes","(4.75,5]"
40192,5,"Definitely Yes","(4.75,5]"
40193,4.85,"Definitely Yes","(4.75,5]"
40194,5,"Definitely Yes","(4.75,5]"
40195,5,"Probably Yes","(4.75,5]"
40196,5,"Definitely Yes","(4.75,5]"
40197,5,"Definitely Yes","(4.75,5]"
40198,5,"Definitely Yes","(4.75,5]"
40199,5,"Probably Yes","(4.75,5]"
40200,5,"Definitely Yes","(4.75,5]"
40201,5,"Definitely Yes","(4.75,5]"
40202,5,"Definitely Yes","(4.75,5]"
40203,5,"Definitely Yes","(4.75,5]"
40204,1,"Definitely Not","[1,1.25]"
40205,5,"Definitely Yes","(4.75,5]"
40206,5,"Definitely Not","(4.75,5]"
40207,4.55,"Probably Yes","(4.5,4.75]"
40208,4.8,"Probably Yes","(4.75,5]"
40209,5,"Definitely Yes","(4.75,5]"
40210,5,"Definitely Yes","(4.75,5]"
40211,5,"Definitely Yes","(4.75,5]"
40212,5,"Definitely Yes","(4.75,5]"
40213,5,"Probably Yes","(4.75,5]"
40214,2.3,"Probably Yes","(2.25,2.5]"
40215,5,"Probably Yes","(4.75,5]"
40216,5,"Definitely Yes","(4.75,5]"
40217,5,"Definitely Yes","(4.75,5]"
40218,5,"Probably Yes","(4.75,5]"
40219,5,"Definitely Yes","(4.75,5]"
40220,5,"Definitely Yes","(4.75,5]"
40221,5,"Definitely Yes","(4.75,5]"
40222,5,"Definitely Yes","(4.75,5]"
40223,5,"Definitely Yes","(4.75,5]"
40224,5,"Definitely Yes","(4.75,5]"
40225,5,"Definitely Yes","(4.75,5]"
40226,5,"Probably Not","(4.75,5]"
40227,5,"Definitely Yes","(4.75,5]"
40228,5,"Definitely Yes","(4.75,5]"
40229,5,"Definitely Yes","(4.75,5]"
40230,4.55,"Probably Yes","(4.5,4.75]"
40231,5,"Definitely Yes","(4.75,5]"
40232,5,"Definitely Yes","(4.75,5]"
40233,5,"Definitely Yes","(4.75,5]"
40234,5,"Definitely Yes","(4.75,5]"
40235,1.35,"Definitely Not","(1.25,1.5]"
40236,5,"Probably Yes","(4.75,5]"
40237,5,"Definitely Yes","(4.75,5]"
40238,5,"Definitely Yes","(4.75,5]"
40239,5,"Definitely Yes","(4.75,5]"
40240,5,"Definitely Yes","(4.75,5]"
40241,5,"Definitely Yes","(4.75,5]"
40242,5,"Definitely Yes","(4.75,5]"
40243,5,"Definitely Yes","(4.75,5]"
40244,5,"Definitely Yes","(4.75,5]"
40245,5,"Probably Yes","(4.75,5]"
40246,4.8,"Definitely Yes","(4.75,5]"
40247,5,"Definitely Yes","(4.75,5]"
40248,5,"Probably Yes","(4.75,5]"
40249,5,"Definitely Yes","(4.75,5]"
40250,5,"Definitely Yes","(4.75,5]"
40251,1,"Definitely Not","[1,1.25]"
40252,5,"Definitely Yes","(4.75,5]"
40253,3.55,"Probably Yes","(3.5,3.75]"
40254,5,"Definitely Yes","(4.75,5]"
40255,5,"Definitely Yes","(4.75,5]"
40256,3.85,"Probably Yes","(3.75,4]"
40257,5,"Definitely Yes","(4.75,5]"
40258,5,"Definitely Yes","(4.75,5]"
40259,4.2,"Definitely Yes","(4,4.25]"
40260,5,"Probably Yes","(4.75,5]"
40261,4.85,"Definitely Yes","(4.75,5]"
40262,5,"Definitely Yes","(4.75,5]"
40263,5,"Definitely Yes","(4.75,5]"
40264,5,"Definitely Yes","(4.75,5]"
40265,5,"Probably Yes","(4.75,5]"
40266,5,"Definitely Yes","(4.75,5]"
40267,5,"Definitely Yes","(4.75,5]"
40268,5,"Probably Yes","(4.75,5]"
40269,5,"Definitely Yes","(4.75,5]"
40270,5,"Definitely Yes","(4.75,5]"
40271,3,"Definitely Not","(2.75,3]"
40272,4.8,"Definitely Yes","(4.75,5]"
40273,5,"Definitely Yes","(4.75,5]"
40274,5,"Definitely Yes","(4.75,5]"
40275,5,"Definitely Yes","(4.75,5]"
40276,5,"Definitely Yes","(4.75,5]"
40277,5,"Definitely Yes","(4.75,5]"
40278,5,"Definitely Yes","(4.75,5]"
40279,5,"Definitely Yes","(4.75,5]"
40280,5,"Definitely Yes","(4.75,5]"
40281,5,"Definitely Yes","(4.75,5]"
40282,5,"Definitely Yes","(4.75,5]"
40283,5,"Definitely Yes","(4.75,5]"
40284,5,"Definitely Yes","(4.75,5]"
40285,5,"Definitely Yes","(4.75,5]"
40286,5,"Definitely Yes","(4.75,5]"
40287,5,"Definitely Yes","(4.75,5]"
40288,4.7,"Definitely Yes","(4.5,4.75]"
40289,5,"Definitely Yes","(4.75,5]"
40290,5,"Definitely Yes","(4.75,5]"
40291,5,"Definitely Yes","(4.75,5]"
40292,5,"Definitely Yes","(4.75,5]"
40293,5,"Probably Yes","(4.75,5]"
40294,5,"Definitely Yes","(4.75,5]"
40295,5,"Definitely Yes","(4.75,5]"
40296,5,"Definitely Yes","(4.75,5]"
40297,5,"Definitely Yes","(4.75,5]"
40298,5,"Definitely Yes","(4.75,5]"
40299,5,"Definitely Yes","(4.75,5]"
40300,5,"Definitely Yes","(4.75,5]"
40301,5,"Definitely Yes","(4.75,5]"
40302,4.55,"Probably Not","(4.5,4.75]"
40303,1.6,"Definitely Not","(1.5,1.75]"
40304,5,"Definitely Yes","(4.75,5]"
40305,5,"Definitely Yes","(4.75,5]"
40306,5,"Definitely Yes","(4.75,5]"
40307,4.6,"Definitely Yes","(4.5,4.75]"
40308,5,"Definitely Yes","(4.75,5]"
40309,5,"Definitely Yes","(4.75,5]"
40310,5,"Definitely Yes","(4.75,5]"
40311,5,"Definitely Yes","(4.75,5]"
40312,5,"Definitely Yes","(4.75,5]"
40313,5,"Definitely Yes","(4.75,5]"
40314,5,"Definitely Yes","(4.75,5]"
40315,5,"Definitely Yes","(4.75,5]"
40316,5,"Probably Yes","(4.75,5]"
40317,5,"Definitely Not","(4.75,5]"
40318,4.8,"Probably Yes","(4.75,5]"
40319,5,"Probably Yes","(4.75,5]"
40320,5,"Probably Yes","(4.75,5]"
40321,5,"Definitely Yes","(4.75,5]"
40322,5,"Definitely Yes","(4.75,5]"
40323,5,"Probably Yes","(4.75,5]"
40324,5,"Definitely Yes","(4.75,5]"
40325,5,"Definitely Yes","(4.75,5]"
40326,5,"Definitely Yes","(4.75,5]"
40327,5,"Definitely Yes","(4.75,5]"
40328,5,"Definitely Yes","(4.75,5]"
40329,5,"Definitely Yes","(4.75,5]"
40330,5,"Probably Yes","(4.75,5]"
40331,5,"Definitely Yes","(4.75,5]"
40332,5,"Definitely Yes","(4.75,5]"
40333,5,"Definitely Yes","(4.75,5]"
40334,1,"Definitely Not","[1,1.25]"
40335,5,"Definitely Yes","(4.75,5]"
40336,4.6,"Probably Yes","(4.5,4.75]"
40337,5,"Probably Yes","(4.75,5]"
40338,5,"Definitely Yes","(4.75,5]"
40339,3.9,"Probably Yes","(3.75,4]"
40340,5,"Definitely Yes","(4.75,5]"
40341,5,"Definitely Yes","(4.75,5]"
40342,5,"Definitely Yes","(4.75,5]"
40343,5,"Probably Yes","(4.75,5]"
40344,5,"Definitely Yes","(4.75,5]"
40345,5,"Definitely Yes","(4.75,5]"
40346,4.85,"Definitely Yes","(4.75,5]"
40347,5,"Definitely Yes","(4.75,5]"
40348,5,"Probably Yes","(4.75,5]"
40349,4.85,"Definitely Yes","(4.75,5]"
40350,5,"Definitely Yes","(4.75,5]"
40351,5,"Probably Yes","(4.75,5]"
40352,5,"Definitely Yes","(4.75,5]"
40353,5,"Definitely Yes","(4.75,5]"
40354,5,"Definitely Yes","(4.75,5]"
40355,5,"Definitely Yes","(4.75,5]"
40356,4.7,"Probably Yes","(4.5,4.75]"
40357,5,"Definitely Yes","(4.75,5]"
40358,5,"Definitely Yes","(4.75,5]"
40359,5,"Definitely Yes","(4.75,5]"
40360,4.05,"Probably Not","(4,4.25]"
40361,5,"Definitely Yes","(4.75,5]"
40362,5,"Definitely Yes","(4.75,5]"
40363,5,"Definitely Yes","(4.75,5]"
40364,5,"Probably Yes","(4.75,5]"
40365,5,"Definitely Yes","(4.75,5]"
40366,5,"Definitely Yes","(4.75,5]"
40367,2.35,"Probably Not","(2.25,2.5]"
40368,5,"Definitely Yes","(4.75,5]"
40369,5,"Definitely Yes","(4.75,5]"
40370,5,"Definitely Yes","(4.75,5]"
40371,3.95,"Probably Not","(3.75,4]"
40372,4.6,"Definitely Yes","(4.5,4.75]"
40373,5,"Definitely Yes","(4.75,5]"
40374,4.7,"Definitely Not","(4.5,4.75]"
40375,5,"Definitely Yes","(4.75,5]"
40376,5,"Definitely Yes","(4.75,5]"
40377,5,"Probably Yes","(4.75,5]"
40378,5,"Definitely Yes","(4.75,5]"
40379,4.85,"Definitely Yes","(4.75,5]"
40380,5,"Definitely Yes","(4.75,5]"
40381,5,"Definitely Yes","(4.75,5]"
40382,5,"Definitely Yes","(4.75,5]"
40383,5,"Definitely Yes","(4.75,5]"
40384,4.1,"Probably Yes","(4,4.25]"
40385,5,"Definitely Yes","(4.75,5]"
40386,5,"Definitely Yes","(4.75,5]"
40387,5,"Definitely Yes","(4.75,5]"
40388,5,"Definitely Yes","(4.75,5]"
40389,5,"Probably Yes","(4.75,5]"
40390,5,"Probably Yes","(4.75,5]"
40391,5,"Probably Yes","(4.75,5]"
40392,5,"Definitely Yes","(4.75,5]"
40393,3.6,"Probably Not","(3.5,3.75]"
40394,5,"Definitely Yes","(4.75,5]"
40395,4.65,"Probably Yes","(4.5,4.75]"
40396,5,"Definitely Yes","(4.75,5]"
40397,4.85,"Definitely Yes","(4.75,5]"
40398,5,"Definitely Yes","(4.75,5]"
40399,5,"Definitely Yes","(4.75,5]"
40400,5,"Probably Yes","(4.75,5]"
40401,5,"Definitely Yes","(4.75,5]"
40402,5,"Probably Yes","(4.75,5]"
40403,5,"Definitely Yes","(4.75,5]"
40404,5,"Probably Yes","(4.75,5]"
40405,5,"Definitely Yes","(4.75,5]"
40406,5,"Definitely Yes","(4.75,5]"
40407,5,"Definitely Yes","(4.75,5]"
40408,5,"Definitely Yes","(4.75,5]"
40409,4.6,"Probably Not","(4.5,4.75]"
40410,5,"Probably Yes","(4.75,5]"
40411,5,"Definitely Yes","(4.75,5]"
40412,4.6,"Probably Yes","(4.5,4.75]"
40413,4.6,"Definitely Yes","(4.5,4.75]"
40414,5,"Definitely Yes","(4.75,5]"
40415,5,"Definitely Yes","(4.75,5]"
40416,5,"Definitely Yes","(4.75,5]"
40417,5,"Definitely Yes","(4.75,5]"
40418,5,"Definitely Yes","(4.75,5]"
40419,4.05,"Probably Yes","(4,4.25]"
40420,5,"Definitely Yes","(4.75,5]"
40421,5,"Definitely Yes","(4.75,5]"
40422,5,"Definitely Yes","(4.75,5]"
40423,5,"Probably Yes","(4.75,5]"
40424,5,"Definitely Yes","(4.75,5]"
40425,5,"Probably Yes","(4.75,5]"
40426,5,"Definitely Yes","(4.75,5]"
40427,5,"Probably Yes","(4.75,5]"
40428,5,"Definitely Yes","(4.75,5]"
40429,5,"Definitely Yes","(4.75,5]"
40430,5,"Definitely Yes","(4.75,5]"
40431,5,"Probably Yes","(4.75,5]"
40432,5,"Definitely Yes","(4.75,5]"
40433,5,"Definitely Yes","(4.75,5]"
40434,5,"Definitely Yes","(4.75,5]"
40435,4.2,"Probably Yes","(4,4.25]"
40436,5,"Definitely Yes","(4.75,5]"
40437,5,"Definitely Yes","(4.75,5]"
40438,5,"Definitely Yes","(4.75,5]"
40439,5,"Probably Yes","(4.75,5]"
40440,5,"Definitely Yes","(4.75,5]"
40441,5,"Definitely Yes","(4.75,5]"
40442,5,"Definitely Yes","(4.75,5]"
40443,5,"Definitely Yes","(4.75,5]"
40444,5,"Definitely Yes","(4.75,5]"
40445,5,"Definitely Yes","(4.75,5]"
40446,5,"Definitely Yes","(4.75,5]"
40447,5,"Definitely Yes","(4.75,5]"
40448,5,"Definitely Yes","(4.75,5]"
40449,5,"Definitely Yes","(4.75,5]"
40450,4.85,"Definitely Yes","(4.75,5]"
40451,5,"Definitely Yes","(4.75,5]"
40452,5,"Probably Yes","(4.75,5]"
40453,2.05,"Probably Not","(2,2.25]"
40454,5,"Probably Yes","(4.75,5]"
40455,4.7,"Probably Not","(4.5,4.75]"
40456,4.4,"Probably Not","(4.25,4.5]"
40457,5,"Definitely Yes","(4.75,5]"
40458,3.35,"Definitely Not","(3.25,3.5]"
40459,5,"Definitely Yes","(4.75,5]"
40460,4.85,"Definitely Yes","(4.75,5]"
40461,5,"Definitely Yes","(4.75,5]"
40462,5,"Definitely Yes","(4.75,5]"
40463,5,"Definitely Yes","(4.75,5]"
40464,5,"Definitely Yes","(4.75,5]"
40465,5,"Definitely Yes","(4.75,5]"
40466,5,"Definitely Yes","(4.75,5]"
40467,5,"Definitely Yes","(4.75,5]"
40468,5,"Probably Yes","(4.75,5]"
40469,5,"Definitely Yes","(4.75,5]"
40470,5,"Definitely Yes","(4.75,5]"
40471,5,"Definitely Yes","(4.75,5]"
40472,5,"Definitely Yes","(4.75,5]"
40473,5,"Definitely Yes","(4.75,5]"
40474,5,"Definitely Yes","(4.75,5]"
40475,5,"Definitely Yes","(4.75,5]"
40476,5,"Definitely Yes","(4.75,5]"
40477,5,"Definitely Yes","(4.75,5]"
40478,5,"Definitely Yes","(4.75,5]"
40479,5,"Definitely Yes","(4.75,5]"
40480,5,"Definitely Yes","(4.75,5]"
40481,5,"Probably Yes","(4.75,5]"
40482,5,"Probably Yes","(4.75,5]"
40483,4.65,"Definitely Yes","(4.5,4.75]"
40484,5,"Probably Yes","(4.75,5]"
40485,5,"Probably Yes","(4.75,5]"
40486,5,"Definitely Yes","(4.75,5]"
40487,5,"Probably Yes","(4.75,5]"
40488,5,"Definitely Yes","(4.75,5]"
40489,4.8,"Definitely Yes","(4.75,5]"
40490,5,"Definitely Yes","(4.75,5]"
40491,4.6,"Probably Yes","(4.5,4.75]"
40492,5,"Probably Yes","(4.75,5]"
40493,5,"Definitely Yes","(4.75,5]"
40494,5,"Definitely Yes","(4.75,5]"
40495,5,"Definitely Yes","(4.75,5]"
40496,5,"Definitely Yes","(4.75,5]"
40497,5,"Definitely Yes","(4.75,5]"
40498,5,"Definitely Yes","(4.75,5]"
40499,5,"Definitely Yes","(4.75,5]"
40500,5,"Definitely Yes","(4.75,5]"
40501,5,"Definitely Yes","(4.75,5]"
40502,5,"Definitely Yes","(4.75,5]"
40503,4.5,"Definitely Yes","(4.25,4.5]"
40504,5,"Definitely Yes","(4.75,5]"
40505,5,"Definitely Yes","(4.75,5]"
40506,5,"Definitely Yes","(4.75,5]"
40507,5,"Definitely Yes","(4.75,5]"
40508,5,"Definitely Yes","(4.75,5]"
40509,5,"Definitely Yes","(4.75,5]"
40510,5,"Definitely Yes","(4.75,5]"
40511,5,"Definitely Yes","(4.75,5]"
40512,5,"Definitely Yes","(4.75,5]"
40513,5,"Definitely Yes","(4.75,5]"
40514,5,"Definitely Yes","(4.75,5]"
40515,5,"Definitely Yes","(4.75,5]"
40516,5,"Definitely Yes","(4.75,5]"
40517,5,"Definitely Yes","(4.75,5]"
40518,1,"Definitely Not","[1,1.25]"
40519,5,"Probably Yes","(4.75,5]"
40520,5,"Definitely Yes","(4.75,5]"
40521,5,"Definitely Yes","(4.75,5]"
40522,5,"Definitely Yes","(4.75,5]"
40523,5,"Definitely Yes","(4.75,5]"
40524,3.65,"Probably Yes","(3.5,3.75]"
40525,3.95,"Probably Yes","(3.75,4]"
40526,5,"Definitely Yes","(4.75,5]"
40527,5,"Definitely Yes","(4.75,5]"
40528,5,"Definitely Yes","(4.75,5]"
40529,2.95,"Probably Not","(2.75,3]"
40530,5,"Definitely Yes","(4.75,5]"
40531,5,"Definitely Yes","(4.75,5]"
40532,5,"Definitely Yes","(4.75,5]"
40533,4,"Probably Not","(3.75,4]"
40534,5,"Definitely Yes","(4.75,5]"
40535,5,"Definitely Yes","(4.75,5]"
40536,5,"Definitely Yes","(4.75,5]"
40537,5,"Probably Yes","(4.75,5]"
40538,5,"Definitely Yes","(4.75,5]"
40539,4.4,"Probably Yes","(4.25,4.5]"
40540,5,"Definitely Yes","(4.75,5]"
40541,4,"Definitely Yes","(3.75,4]"
40542,5,"Definitely Yes","(4.75,5]"
40543,5,"Definitely Yes","(4.75,5]"
40544,4.85,"Definitely Yes","(4.75,5]"
40545,4.5,"Definitely Yes","(4.25,4.5]"
40546,5,"Definitely Yes","(4.75,5]"
40547,5,"Definitely Yes","(4.75,5]"
40548,1,"Definitely Not","[1,1.25]"
40549,4,"Probably Yes","(3.75,4]"
40550,5,"Definitely Yes","(4.75,5]"
40551,4.25,"Probably Not","(4,4.25]"
40552,5,"Definitely Yes","(4.75,5]"
40553,5,"Definitely Yes","(4.75,5]"
40554,5,"Probably Yes","(4.75,5]"
40555,5,"Definitely Yes","(4.75,5]"
40556,5,"Definitely Yes","(4.75,5]"
40557,4.85,"Definitely Not","(4.75,5]"
40558,5,"Definitely Yes","(4.75,5]"
40559,5,"Definitely Yes","(4.75,5]"
40560,5,"Probably Yes","(4.75,5]"
40561,5,"Definitely Yes","(4.75,5]"
40562,5,"Definitely Yes","(4.75,5]"
40563,1,"Definitely Not","[1,1.25]"
40564,5,"Definitely Yes","(4.75,5]"
40565,5,"Definitely Yes","(4.75,5]"
40566,5,"Definitely Yes","(4.75,5]"
40567,1,"Definitely Not","[1,1.25]"
40568,5,"Definitely Yes","(4.75,5]"
40569,5,"Definitely Yes","(4.75,5]"
40570,5,"Definitely Yes","(4.75,5]"
40571,5,"Definitely Yes","(4.75,5]"
40572,5,"Definitely Yes","(4.75,5]"
40573,5,"Probably Yes","(4.75,5]"
40574,5,"Definitely Yes","(4.75,5]"
40575,5,"Definitely Yes","(4.75,5]"
40576,1,"Definitely Not","[1,1.25]"
40577,4,"Definitely Yes","(3.75,4]"
40578,4,"Definitely Yes","(3.75,4]"
40579,5,"Probably Yes","(4.75,5]"
40580,5,"Probably Yes","(4.75,5]"
40581,4.45,"Definitely Yes","(4.25,4.5]"
40582,5,"Definitely Yes","(4.75,5]"
40583,5,"Definitely Yes","(4.75,5]"
40584,5,"Probably Yes","(4.75,5]"
40585,5,"Definitely Yes","(4.75,5]"
40586,5,"Definitely Yes","(4.75,5]"
40587,5,"Definitely Yes","(4.75,5]"
40588,5,"Definitely Yes","(4.75,5]"
40589,5,"Definitely Yes","(4.75,5]"
40590,5,"Definitely Yes","(4.75,5]"
40591,5,"Definitely Yes","(4.75,5]"
40592,5,"Definitely Yes","(4.75,5]"
40593,5,"Definitely Yes","(4.75,5]"
40594,5,"Definitely Yes","(4.75,5]"
40595,5,"Definitely Yes","(4.75,5]"
40596,5,"Definitely Yes","(4.75,5]"
40597,5,"Definitely Yes","(4.75,5]"
40598,4.8,"Probably Yes","(4.75,5]"
40599,4.55,"Probably Yes","(4.5,4.75]"
40600,5,"Definitely Yes","(4.75,5]"
40601,5,"Definitely Yes","(4.75,5]"
40602,1.45,"Definitely Not","(1.25,1.5]"
40603,5,"Definitely Yes","(4.75,5]"
40604,1,"Definitely Not","[1,1.25]"
40605,5,"Probably Yes","(4.75,5]"
40606,5,"Definitely Yes","(4.75,5]"
40607,5,"Definitely Yes","(4.75,5]"
40608,5,"Definitely Yes","(4.75,5]"
40609,5,"Definitely Yes","(4.75,5]"
40610,4.6,"Probably Yes","(4.5,4.75]"
40611,5,"Probably Yes","(4.75,5]"
40612,5,"Definitely Yes","(4.75,5]"
40613,3.15,"Probably Yes","(3,3.25]"
40614,5,"Definitely Yes","(4.75,5]"
40615,5,"Definitely Yes","(4.75,5]"
40616,5,"Probably Yes","(4.75,5]"
40617,4.6,"Definitely Not","(4.5,4.75]"
40618,5,"Definitely Yes","(4.75,5]"
40619,5,"Probably Yes","(4.75,5]"
40620,5,"Definitely Yes","(4.75,5]"
40621,5,"Definitely Yes","(4.75,5]"
40622,5,"Definitely Yes","(4.75,5]"
40623,5,"Definitely Yes","(4.75,5]"
40624,5,"Definitely Yes","(4.75,5]"
40625,5,"Definitely Yes","(4.75,5]"
40626,5,"Definitely Yes","(4.75,5]"
40627,5,"Definitely Yes","(4.75,5]"
40628,4,"Definitely Yes","(3.75,4]"
40629,5,"Definitely Yes","(4.75,5]"
40630,5,"Definitely Yes","(4.75,5]"
40631,5,"Probably Yes","(4.75,5]"
40632,5,"Definitely Yes","(4.75,5]"
40633,5,"Definitely Yes","(4.75,5]"
40634,5,"Definitely Yes","(4.75,5]"
40635,5,"Probably Yes","(4.75,5]"
40636,5,"Definitely Yes","(4.75,5]"
